,Title,Production Company
0,Academy Award Review of Walt Disney Cartoons,['Walt Disney Productions']
1,Snow White and the Seven Dwarfs,['Walt Disney Productions']
2,Pinocchio,['Walt Disney Productions']
3,Fantasia,['Walt Disney Productions']
4,The Reluctant Dragon,['Walt Disney Productions']
5,Dumbo,['Walt Disney Productions']
6,Bambi,['Walt Disney Productions']
7,Saludos Amigos,['Walt Disney Productions']
8,Victory Through Air Power,['Walt Disney Productions']
9,The Three Caballeros,['Walt Disney Productions']
10,Make Mine Music,['Walt Disney Productions']
11,Song of the South,['Walt Disney Productions']
12,Fun and Fancy Free,['Walt Disney Productions']
13,Melody Time,['Walt Disney Productions']
14,So Dear to My Heart,['Walt Disney Productions']
15,The Adventures of Ichabod andMr. Toad,['Walt Disney Productions']
16,Cinderella,['Walt Disney Productions']
17,Treasure Island,['Walt Disney Productions']
18,Alice in Wonderland,['Walt Disney Productions']
19,The Story of Robin Hood,"['Walt Disney Productions', 'RKO Radio Pictures, Inc.']"
20,Peter Pan,['Walt Disney Productions']
21,The Sword and the Rose,['Walt Disney Productions']
22,The Living Desert,['Walt Disney Productions']
23,Rob Roy: The Highland Rogue,['Walt Disney Productions']
24,The Vanishing Prairie,['Walt Disney Productions']
25,"20,000 Leagues Under the Sea",['Walt Disney Productions']
26,Davy Crockett: King of the Wild Frontier,['Walt Disney Productions']
27,Lady and the Tramp,['Walt Disney Productions']
28,The African Lion,['Walt Disney Productions']
29,The Littlest Outlaw,['Walt Disney Productions']
30,The Great Locomotive Chase,['Walt Disney Productions']
31,Davy Crockett and the River Pirates,['Walt Disney Productions']
32,Secrets of Life,['Walt Disney Productions']
33,Westward Ho the Wagons!,['Walt Disney Productions']
34,Johnny Tremain,['Walt Disney Productions']
35,Perri,['Walt Disney Productions']
36,Old Yeller,['Walt Disney Productions']
37,The Light in the Forest,['Walt Disney Productions']
38,White Wilderness,['Walt Disney Productions']
39,Tonka,['Walt Disney Productions']
40,Sleeping Beauty,['Walt Disney Productions']
41,The Shaggy Dog,['Walt Disney Productions']
42,Darby O'Gill and the Little People,['Walt Disney Productions']
43,Zorro,['Walt Disney Productions']
44,Third Man on the Mountain,['Walt Disney Productions']
45,Toby Tyler or 10 Weeks with a Circus,['Walt Disney Productions']
46,Kidnapped,['Walt Disney Productions']
47,Pollyanna,['Walt Disney Productions']
48,Zorro,['Walt Disney Productions']
49,Jungle Cat,['Walt Disney Productions']
50,Ten Who Dared,['Walt Disney Productions']
51,Swiss Family Robinson,['Walt Disney Productions']
52,One Hundred and One Dalmatians,['Walt Disney Productions']
53,The Absent-Minded Professor,['Walt Disney Productions']
54,The Parent Trap,['Walt Disney Productions']
55,Nikki: Wild Dog of the North,['Walt Disney Productions']
56,Greyfriars Bobby,['Walt Disney Productions']
57,Babes in Toyland,['Walt Disney Productions']
58,Moon Pilot,['Walt Disney Productions']
59,Bon Voyage!,['Walt Disney Productions']
60,Big Red,['Walt Disney Productions']
61,Almost Angels,['Walt Disney Productions']
62,The Legend of Lobo,['Walt Disney Productions']
63,In Search of the Castaways,['Walt Disney Productions']
64,Son of Flubber,['Walt Disney Productions']
65,Miracle of the White Stallions,['Walt Disney Productions']
66,Savage Sam,['Walt Disney Productions']
67,Summer Magic,['Walt Disney Productions']
68,The Incredible Journey,['Walt Disney Productions']
69,The Sword in the Stone,['Walt Disney Productions']
70,A Tiger Walks,['Walt Disney Productions']
71,The Misadventures of Merlin Jones,['Walt Disney Productions']
72,The Three Lives of Thomasina,['Walt Disney Productions']
73,The Moon-Spinners,['Walt Disney Productions']
74,Mary Poppins,['Walt Disney Productions']
75,Emil and the Detectives,['Walt Disney Productions']
76,Those Calloways,['Walt Disney Productions']
77,The Monkey's Uncle,['Walt Disney Productions']
78,That Darn Cat!,['Walt Disney Productions']
79,The Ugly Dachshund,['Walt Disney Productions']
80,"Lt. Robin Crusoe, U.S.N.",['Walt Disney Productions']
81,The Fighting Prince of Donegal,['Walt Disney Productions']
82,"Follow Me, Boys!",['Walt Disney Productions']
83,"Monkeys, Go Home!",['Walt Disney Productions']
84,The Adventures of Bullwhip Griffin,['Walt Disney Productions']
85,The Gnome-Mobile,['Walt Disney Productions']
86,The Jungle Book,['Walt Disney Productions']
87,"Charlie, the Lonesome Cougar",['Walt Disney Productions']
88,The Happiest Millionaire,['Walt Disney Productions']
89,Blackbeard's Ghost,['Walt Disney Productions']
90,"The One and Only, Genuine, Original Family Band",['Walt Disney Productions']
91,Never a Dull Moment,['Walt Disney Productions']
92,The Horse in the Gray Flannel Suit,['Walt Disney Productions']
93,The Love Bug,['Walt Disney Productions']
94,Smith!,['Walt Disney Productions']
95,Rascal,['Walt Disney Productions']
96,The Computer Wore Tennis Shoes,['Walt Disney Productions']
97,King of the Grizzlies,['Walt Disney Productions']
98,The Boatniks,['Walt Disney Productions']
99,The Wild Country,['Walt Disney Productions']
100,The Aristocats,['Walt Disney Productions']
101,The Barefoot Executive,['Walt Disney Productions']
102,Scandalous John,['Walt Disney Productions']
103,The Million Dollar Duck,['Walt Disney Productions']
104,Bedknobs and Broomsticks,['Walt Disney Productions']
105,The Biscuit Eater,['Walt Disney Productions']
106,"Now You See Him, Now You Don't",['Walt Disney Productions']
107,Napoleon and Samantha,['Walt Disney Productions']
108,"Run, Cougar, Run",['Walt Disney Productions']
109,Snowball Express,['Walt Disney Productions']
110,The World's Greatest Athlete,['Walt Disney Productions']
111,Charley and the Angel,['Walt Disney Productions']
112,One Little Indian,['Walt Disney Productions']
113,Robin Hood,['Walt Disney Productions']
114,Superdad,['Walt Disney Productions']
115,Herbie Rides Again,['Walt Disney Productions']
116,The Bears and I,['Walt Disney Productions']
117,The Castaway Cowboy,['Walt Disney Productions']
118,The Island at the Top of the World,['Walt Disney Productions']
119,The Strongest Man in the World,['Walt Disney Productions']
120,Escape to Witch Mountain,['Walt Disney Productions']
121,The Apple Dumpling Gang,['Walt Disney Productions']
122,One of Our Dinosaurs is Missing,['Walt Disney Productions']
123,The Best of Walt Disney's True-Life Adventures,['Walt Disney Productions']
124,Ride a Wild Pony,['Walt Disney Productions']
125,"No Deposit, No Return",['Walt Disney Productions']
126,Treasure of Matecumbe,['Walt Disney Productions']
127,Gus,['Walt Disney Productions']
128,The Shaggy D.A.,['Walt Disney Productions']
129,Freaky Friday: The Movie,['Walt Disney Productions']
130,Escape from the Dark,['Walt Disney Productions']
131,The Many Adventures of Winnie the Pooh,['Walt Disney Productions']
132,A Tale of Two Critters,['Walt Disney Productions']
133,The Rescuers,['Walt Disney Productions']
134,Herbie Goes to Monte Carlo,['Walt Disney Productions']
135,Pete's Dragon,['Walt Disney Productions']
136,Candleshoe,['Walt Disney Productions']
137,Return from Witch Mountain,['Walt Disney Productions']
138,The Cat from Outer Space,['Walt Disney Productions']
139,Hot Lead and Cold Feet,['Walt Disney Productions']
140,The North Avenue Irregulars,['Walt Disney Productions']
141,The Apple Dumpling Gang Rides Again,['Walt Disney Productions']
142,Unidentified Flying Oddball,['Walt Disney Productions']
143,The Black Hole,['Walt Disney Productions']
144,The Omega Connection,['Walt Disney Productions']
145,Midnight Madness,['Walt Disney Productions']
146,The Watcher in the Woods,['Walt Disney Productions']
147,Herbie Goes Bananas,['Walt Disney Productions']
148,The Last Flight of Noah's Ark,['Walt Disney Productions']
149,Popeye,"['Paramount Pictures', 'Walt Disney Productions', 'Robert Evans Productions']"
150,The Devil and Max Devlin,['Walt Disney Productions']
151,Amy,['Walt Disney Productions']
152,Dragonslayer,"['Paramount Pictures', 'Walt Disney Productions']"
153,The Fox and the Hound,['Walt Disney Productions']
154,Condorman,['Walt Disney Productions']
155,Night Crossing,['Walt Disney Productions']
156,Tron,"['Walt Disney Productions', 'Lisberger-Kushner Productions']"
157,Tex,['Walt Disney Productions']
158,Trenchcoat,['Walt Disney Productions (uncredited)']
159,Something Wicked This Way Comes,"['Walt Disney Productions', 'The Bryna Company']"
160,Never Cry Wolf,"['Walt Disney Pictures', 'Amarok Productions Ltd.']"
161,Return to Oz,"['Walt Disney Pictures', 'Silver Screen Partners ']"
162,The Black Cauldron,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners II']"
163,The Journey of Natty Gann,"['Walt Disney Pictures', 'Silver Screen Partners II']"
164,One Magic Christmas,"['Walt Disney Pictures', 'Silver Screen Partners II', 'Telefilm Canada']"
165,The Great Mouse Detective,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners II']"
166,Flight of the Navigator,"['PSO Productions', 'Viking Film AS']"
167,Benji the Hunted,"['Walt Disney Pictures', 'Mulberry Square Productions', 'Silver Screen Partners III']"
